1.17E+02,3.91E+01,1.17E+02,3.91E+01,4.97E+00,3.02E+01,1.43E+01,1.00E+01
1.171976870900000023e+02,3.913841388000000165e+01,1.172039238400000016e+02,3.913952547000000237e+01,4.549999999999999822e+00,3.094000000000000128e+01,1.427999999999999936e+01,1.002999999999999936e+01
1.171974763599999960e+02,3.913877435999999932e+01,1.172037415900000070e+02,3.913990009999999842e+01,4.589999999999999858e+00,3.130999999999999872e+01,1.426999999999999957e+01,1.002999999999999936e+01
1.171973310999999995e+02,3.913915038999999751e+01,1.172036128600000069e+02,3.914028077999999766e+01,4.580000000000000071e+00,3.133999999999999986e+01,1.425999999999999979e+01,1.005000000000000071e+01
1.171972587700000048e+02,3.913955638000000192e+01,1.172035594900000035e+02,3.914069699000000213e+01,4.490000000000000213e+00,3.392000000000000171e+01,1.428999999999999915e+01,1.001999999999999957e+01
1.171972447100000068e+02,3.913996837999999912e+01,1.172035684199999963e+02,3.914111453999999668e+01,4.540000000000000036e+00,3.475000000000000000e+01,1.433000000000000007e+01,9.960000000000000853e+00
1.171973229200000048e+02,3.914037908000000243e+01,1.172036609099999964e+02,3.914151892000000288e+01,4.639999999999999680e+00,3.422999999999999687e+01,1.430000000000000071e+01,1.000000000000000000e+01
1.171974560900000029e+02,3.914076685999999938e+01,1.172038025599999997e+02,3.914190425000000317e+01,3.839999999999999858e+00,3.400000000000000000e+01,1.435999999999999943e+01,9.910000000000000142e+00
1.171976818100000060e+02,3.914127182000000005e+01,1.172040408499999984e+02,3.914242243000000343e+01,4.009999999999999787e+00,3.970000000000000284e+01,1.436999999999999922e+01,9.900000000000000355e+00
1.171979178699999977e+02,3.914176969999999756e+01,1.172042787999999973e+02,3.914292487000000165e+01,4.200000000000000178e+00,4.122999999999999687e+01,1.433000000000000007e+01,9.949999999999999289e+00
1.171980723399999960e+02,3.914226800000000139e+01,1.172044351600000027e+02,3.914342134000000328e+01,4.030000000000000249e+00,4.106000000000000227e+01,1.430000000000000071e+01,1.000000000000000000e+01
1.171983340799999951e+02,3.914274833000000342e+01,1.172046998099999939e+02,3.914390300000000167e+01,3.859999999999999876e+00,4.170000000000000284e+01,1.430000000000000071e+01,1.000000000000000000e+01
1.171986208999999945e+02,3.914321429000000307e+01,1.172049940800000059e+02,3.914436183000000113e+01,4.099999999999999645e+00,4.052000000000000313e+01,1.444999999999999929e+01,9.779999999999999361e+00
1.171990171799999985e+02,3.914362112999999965e+01,1.172054142500000040e+02,3.914475690999999813e+01,5.030000000000000249e+00,4.059000000000000341e+01,1.433000000000000007e+01,9.960000000000000853e+00
1.171994612099999955e+02,3.914400137999999885e+01,1.172058700799999968e+02,3.914512624000000329e+01,5.679999999999999716e+00,4.020000000000000284e+01,1.428999999999999915e+01,1.000999999999999979e+01
1.171999811499999993e+02,3.914432233000000139e+01,1.172064031799999952e+02,3.914543444000000250e+01,5.700000000000000178e+00,4.010999999999999943e+01,1.431000000000000050e+01,9.980000000000000426e+00
1.172005161499999986e+02,3.914458498999999847e+01,1.172069423100000023e+02,3.914568500000000029e+01,5.730000000000000426e+00,3.892000000000000171e+01,1.434999999999999964e+01,9.929999999999999716e+00
1.172010733099999982e+02,3.914476854000000117e+01,1.172075128799999959e+02,3.914585673999999926e+01,5.679999999999999716e+00,3.918999999999999773e+01,1.432000000000000028e+01,9.970000000000000639e+00
1.172017090100000019e+02,3.914489280000000093e+01,1.172081419499999981e+02,3.914598005999999941e+01,6.110000000000000320e+00,3.914000000000000057e+01,1.431000000000000050e+01,9.990000000000000213e+00
1.172022757299999967e+02,3.914509965999999963e+01,1.172087079500000044e+02,3.914618621999999704e+01,6.040000000000000036e+00,3.903000000000000114e+01,1.433000000000000007e+01,9.960000000000000853e+00
1.172028520599999979e+02,3.914530505999999832e+01,1.172092826599999995e+02,3.914638908999999956e+01,6.009999999999999787e+00,3.860999999999999943e+01,1.430000000000000071e+01,9.990000000000000213e+00
1.172034174799999988e+02,3.914550502000000165e+01,1.172098496699999970e+02,3.914658916999999860e+01,5.690000000000000391e+00,3.824000000000000199e+01,1.433000000000000007e+01,9.949999999999999289e+00
1.172039832399999995e+02,3.914570511000000153e+01,1.172104116999999945e+02,3.914678749000000124e+01,5.190000000000000391e+00,3.850000000000000000e+01,1.431000000000000050e+01,9.980000000000000426e+00
1.172045451599999950e+02,3.914590381000000008e+01,1.172109719399999932e+02,3.914698515999999984e+01,5.240000000000000213e+00,3.828999999999999915e+01,1.433999999999999986e+01,9.939999999999999503e+00
