index,time,latitude,longitude,mean_wave_period
85,2017-12-02T21:00:00Z,36.5125,-17.8875,8.518655
86,2017-12-02T21:00:00Z,36.5125,-17.8625,8.51837
87,2017-12-02T21:00:00Z,36.5125,-17.8375,8.507272
88,2017-12-02T21:00:00Z,36.5125,-17.8125,8.4995
89,2017-12-02T21:00:00Z,36.5125,-17.7875,8.489048
90,2017-12-02T21:00:00Z,36.5125,-17.7625,8.478606
91,2017-12-02T21:00:00Z,36.5125,-17.7375,8.477081
92,2017-12-02T21:00:00Z,36.5125,-17.7125,8.475488
93,2017-12-02T21:00:00Z,36.5125,-17.6875,8.467908
94,2017-12-02T21:00:00Z,36.5125,-17.6625,8.462079
95,2017-12-02T21:00:00Z,36.5125,-17.6375,8.4461975
96,2017-12-02T21:00:00Z,36.5125,-17.6125,8.436464
97,2017-12-02T21:00:00Z,36.5125,-17.5875,8.418943
98,2017-12-02T21:00:00Z,36.5125,-17.5625,8.410455
99,2017-12-02T21:00:00Z,36.5125,-17.5375,8.40484
100,2017-12-02T21:00:00Z,36.5125,-17.5125,8.389132
101,2017-12-02T21:00:00Z,36.5125,-17.4875,8.404762
102,2017-12-02T21:00:00Z,36.5125,-17.4625,8.392875
103,2017-12-02T21:00:00Z,36.5125,-17.4375,8.376572
104,2017-12-02T21:00:00Z,36.5125,-17.4125,8.374197
105,2017-12-02T21:00:00Z,36.5125,-17.3875,8.374362
106,2017-12-02T21:00:00Z,36.5125,-17.3625,8.369479
107,2017-12-02T21:00:00Z,36.5125,-17.3375,8.367294
108,2017-12-02T21:00:00Z,36.5125,-17.3125,8.360853
109,2017-12-02T21:00:00Z,36.5125,-17.2875,8.359328
110,2017-12-02T21:00:00Z,36.5125,-17.2625,8.351921
111,2017-12-02T21:00:00Z,36.5125,-17.2375,8.349835
112,2017-12-02T21:00:00Z,36.5125,-17.2125,8.351834
113,2017-12-02T21:00:00Z,36.5125,-17.1875,8.353851
114,2017-12-02T21:00:00Z,36.5125,-17.1625,8.339387
115,2017-12-02T21:00:00Z,36.5125,-17.1375,8.326218
116,2017-12-02T21:00:00Z,36.5125,-17.1125,8.31665
117,2017-12-02T21:00:00Z,36.5125,-17.0875,8.314295
118,2017-12-02T21:00:00Z,36.5125,-17.0625,8.303148
119,2017-12-02T21:00:00Z,36.5125,-17.0375,8.297054
120,2017-12-02T21:00:00Z,36.5125,-17.0125,8.291946
121,2017-12-02T21:00:00Z,36.5125,-16.9875,8.244067
122,2017-12-02T21:00:00Z,36.5125,-16.9625,8.239903
123,2017-12-02T21:00:00Z,36.5125,-16.9375,8.235444
124,2017-12-02T21:00:00Z,36.5125,-16.9125,8.229294
125,2017-12-02T21:00:00Z,36.5125,-16.8875,8.232407
126,2017-12-02T21:00:00Z,36.5125,-16.8625,8.223527
127,2017-12-02T21:00:00Z,36.5125,-16.8375,8.214977
128,2017-12-02T21:00:00Z,36.5125,-16.8125,8.210092
129,2017-12-02T21:00:00Z,36.5125,-16.7875,8.202282
130,2017-12-02T21:00:00Z,36.5125,-16.7625,8.203214
131,2017-12-02T21:00:00Z,36.5125,-16.7375,8.203241
132,2017-12-02T21:00:00Z,36.5125,-16.7125,8.187934
133,2017-12-02T21:00:00Z,36.5125,-16.6875,8.173955
134,2017-12-02T21:00:00Z,36.5125,-16.6625,8.170737
135,2017-12-02T21:00:00Z,36.5125,-16.6375,8.166908
136,2017-12-02T21:00:00Z,36.5125,-16.6125,8.16273
137,2017-12-02T21:00:00Z,36.5125,-16.5875,8.155119
138,2017-12-02T21:00:00Z,36.5125,-16.5625,8.158135
139,2017-12-02T21:00:00Z,36.5125,-16.5375,8.149529
140,2017-12-02T21:00:00Z,36.5125,-16.5125,8.142173
141,2017-12-02T21:00:00Z,36.5125,-16.4875,8.06763
142,2017-12-02T21:00:00Z,36.5125,-16.4625,8.061834
143,2017-12-02T21:00:00Z,36.5125,-16.4375,8.051813
144,2017-12-02T21:00:00Z,36.5125,-16.4125,8.045354
145,2017-12-02T21:00:00Z,36.5125,-16.3875,8.038968
146,2017-12-02T21:00:00Z,36.5125,-16.3625,8.039704
147,2017-12-02T21:00:00Z,36.5125,-16.3375,8.035797
148,2017-12-02T21:00:00Z,36.5125,-16.3125,8.026845
149,2017-12-02T21:00:00Z,36.5125,-16.2875,8.016402
150,2017-12-02T21:00:00Z,36.5125,-16.2625,8.00325
151,2017-12-02T21:00:00Z,36.5125,-16.2375,7.9948153
152,2017-12-02T21:00:00Z,36.5125,-16.2125,7.9788113
153,2017-12-02T21:00:00Z,36.5125,-16.1875,7.973502
